seed,segment,step,timestamp,loss_pr,loss_ce,update_norm,param_norm,grad_norm,actual_batch_size,bucket_chi_sq_mod_norm,bucket_acf_mod_lag1,bucket_chi_sq_div_norm,bucket_acf_div_lag1,bucket_chi_sq_hash_norm,bucket_acf_hash_lag1,shard_chi_sq,shard_acf_lag1,n_unique_indices,overlap_exact,overlap_bucket,n_unique_window,expected_unique_iid
1,0,5,1770168953.4996192,9.3186616897583,9.25432014465332,0.07465731352567673,184.51382446289062,2.1242568492889404,2048.0,0.7656862745098039,-0.12452862333686708,71.51960784313725,0.8602524684809125,0.7656862745098039,-0.12452862333686708,70227.28808593749,0.8712008665378356,2048.0,0.0,648.0,10240.0,10141.429634588563
1,0,10,1770168973.339486,9.300714492797852,9.225846290588379,0.155101478099823,184.516357421875,1.8556249141693115,2048.0,0.884313725490196,0.0,71.2843137254902,0.7732503066900962,0.884313725490196,0.0,67656.9853515625,0.782073023073182,2048.0,0.0,626.0,20480.0,20088.22582273972
1,0,15,1770168992.3988476,9.321292877197266,9.22763442993164,0.24694016575813293,184.52703857421875,2.4754793643951416,2048.0,0.9205882352941176,-0.1138793584427485,75.07450980392157,0.8435928424090113,0.9205882352941176,-0.1138793584427485,75374.80761718749,0.8315719048724307,2048.0,0.0,691.0,30720.0,29844.123952839393
1,0,20,1770169012.8814487,9.253752708435059,9.221231460571289,0.36421605944633484,184.55482482910156,2.960730791091919,2048.0,1.0352941176470587,-0.10707791794771096,58.035294117647055,0.8004274507111744,1.0352941176470587,-0.10707791794771096,61583.84570312499,0.7697286425647846,2048.0,0.0,665.0,40960.0,39412.78772402016
1,0,25,1770169032.1087294,9.2320556640625,9.188106536865234,0.46422991156578064,184.61233520507812,3.369767427444458,2048.0,0.9529411764705882,-0.10408802062550641,66.48333333333333,0.8303168204067366,0.9529411764705882,-0.10408802062550641,80248.357421875,0.7997821123371256,2048.0,0.0,637.0,51200.0,48797.810522015716
1,0,30,1770169051.094277,9.201803207397461,9.169322967529297,0.5126495361328125,184.6961669921875,4.271198272705078,2048.0,0.8490196078431372,-0.11169638462581782,72.57549019607843,0.7839837999176961,0.8490196078431372,-0.11169638462581782,70496.072265625,0.804922111810572,2048.0,0.0,625.0,61440.0,58002.71676860942
1,0,35,1770169072.4905167,9.176654815673828,9.169852256774902,0.5419169664382935,184.79879760742188,3.343935966491699,2048.0,0.7892156862745098,-0.1379777266124298,55.997058823529414,0.8276418624181555,0.7892156862745098,-0.1379777266124298,56999.82226562499,0.8280800676281864,2048.0,0.0,702.0,71680.0,67030.96324518445
1,0,40,1770169092.295374,9.141790390014648,9.16318416595459,0.5892210602760315,184.91055297851562,3.3350040912628174,2048.0,0.8911764705882352,-0.18553677417808423,51.673529411764704,0.8179302773565935,0.8911764705882352,-0.18553677417808423,64903.459960937485,0.8675735504516475,2048.0,0.0,630.0,81920.0,75885.94039087257
1,0,45,1770169112.1294174,9.153495788574219,9.125322341918945,0.6617096662521362,185.0289306640625,3.2574462890625,2048.0,0.8529411764705882,-0.1639623358375415,69.92254901960784,0.8012124376245529,0.8529411764705882,-0.1639623358375415,68129.734375,0.8223660351065009,2048.0,0.0,683.0,92160.0,84570.97357578904
1,0,50,1770169131.9761126,9.159402847290039,9.109293937683105,0.6900355815887451,185.14581298828125,2.7897748947143555,2048.0,0.7941176470588235,-0.05259917103486056,63.98627450980392,0.7904566911582522,0.7941176470588235,-0.05259917103486056,66164.412109375,0.8122328488622317,2048.0,0.0,652.0,102400.0,93089.32434983144
