prng_mode,condition,step,loss_pr,loss_ce,update_norm,param_norm,grad_norm,opt_state_l2,opt_state_abs_mean,opt_state_abs_max
checkpointed,control,5,9.263812065124512,9.258807182312012,0.7959945201873779,184.53082275390625,2.4673757553100586,6.2345499992370605,1.4584078480007e-6,4.775000095367432
checkpointed,control,10,9.13398551940918,9.128873825073242,1.6695855855941772,184.74082946777344,4.864940166473389,6.23810338973999,2.0206114778611032e-6,4.775000095367432
checkpointed,control,15,9.073932647705078,9.055795669555664,1.9541951417922974,185.2537078857422,3.3110086917877197,6.2357635498046875,2.127430576885951e-6,4.775000095367432
checkpointed,control,20,9.104591369628906,9.109289169311523,2.4057023525238037,185.96958923339844,2.18146014213562,6.2340312004089355,2.3142344990578842e-6,4.775000095367432
checkpointed,control,25,9.086483001708984,9.0997314453125,3.090022087097168,186.84266662597656,1.5173656940460205,6.23337459564209,2.734421507672347e-6,4.775000095367432
checkpointed,control,30,9.070375442504883,9.034293174743652,3.446394443511963,188.05308532714844,1.1599688529968262,6.233776092529297,3.352027117344188e-6,4.775000095367432
checkpointed,control,35,9.022890090942383,9.038371086120605,3.8388235569000244,189.77835083007812,1.1550921201705933,6.234941482543945,4.0858848642578845e-6,4.775000095367432
checkpointed,control,40,8.994441986083984,9.015544891357422,4.22065544128418,192.21609497070312,0.9400864839553833,6.236773490905762,4.652055245863831e-6,4.775000095367432
checkpointed,control,45,9.099998474121094,9.07206916809082,4.510979175567627,195.11849975585938,0.9224457740783691,6.236687660217285,5.1954127342454745e-6,4.775000095367432
checkpointed,control,50,9.045877456665039,9.062459945678711,7.8165082931518555,198.55772399902344,2.232999563217163,6.236483573913574,5.591260684244295e-6,4.775000095367432
checkpointed,control,55,9.002365112304688,9.022783279418945,4.445302486419678,202.58135986328125,0.9086220860481262,6.237767219543457,5.8898138785738535e-6,4.775000095367432
checkpointed,control,60,9.009482383728027,9.026750564575195,4.516292572021484,206.91018676757812,0.9596965312957764,6.238794803619385,6.131931975448959e-6,4.775000095367432
checkpointed,control,65,9.014479637145996,9.016697883605957,4.909697532653809,211.2036590576172,0.9466592073440552,6.239455223083496,6.284209468168352e-6,4.775000095367432
checkpointed,control,70,8.914884567260742,8.924959182739258,5.321298122406006,215.44393920898438,1.0231244564056396,6.240757465362549,6.46189657225322e-6,4.775000095367432
checkpointed,control,75,8.906115531921387,8.888263702392578,5.744440078735352,220.07200622558594,1.0916483402252197,6.242070198059082,6.621673260354529e-6,4.775000095367432
checkpointed,control,80,8.967388153076172,8.957639694213867,4.357306480407715,224.62652587890625,1.0268748998641968,6.241507053375244,6.583429190009534e-6,4.775000095367432
checkpointed,control,85,8.903999328613281,8.898758888244629,4.724908828735352,229.12635803222656,1.138562798500061,6.241747856140137,6.656994957564088e-6,4.775000095367432
checkpointed,control,90,8.888542175292969,8.867265701293945,5.473974227905273,233.69224548339844,1.02439284324646,6.243476867675781,6.705985034018849e-6,4.775000095367432
checkpointed,control,95,8.93613338470459,8.91594409942627,5.289487838745117,238.27964782714844,0.8713647127151489,6.243510723114014,6.814875542287582e-6,4.775000095367432
checkpointed,control,100,8.776962280273438,8.777689933776855,6.128286361694336,243.28782653808594,1.0430508852005005,6.244176864624023,6.9696809699437525e-6,4.775000095367432
checkpointed,control,105,8.659536361694336,8.655807495117188,6.5148234367370605,248.84779357910156,1.1750366687774658,6.245504379272461,6.8797721912845685e-6,4.775000095367432
checkpointed,control,110,8.736310958862305,8.694316864013672,6.706106185913086,254.86947631835938,0.9680122137069702,6.245932579040527,6.8255442433800194e-6,4.775000095367432
checkpointed,control,115,8.718196868896484,8.716619491577148,6.5140838623046875,261.4364013671875,0.9672313928604126,6.245790958404541,6.863859531733106e-6,4.775000095367432
checkpointed,control,120,8.485596656799316,8.48425006866455,6.0659942626953125,267.69842529296875,1.8772172927856445,6.246016502380371,6.784033883877609e-6,4.775000095367432
checkpointed,control,125,8.41489315032959,8.417744636535645,5.104293346405029,273.6675109863281,1.480315923690796,6.246488571166992,6.710182026888842e-6,4.775000095367432
checkpointed,control,130,8.40231990814209,8.375415802001953,5.18561315536499,278.9963684082031,1.4326688051223755,6.246165752410889,6.63388623569079e-6,4.775000095367432
checkpointed,control,135,8.500297546386719,8.484769821166992,6.372214317321777,284.1761474609375,1.7346456050872803,6.246407508850098,6.558334277021692e-6,4.775000095367432
checkpointed,control,140,8.470935821533203,8.442285537719727,6.3295440673828125,289.38116455078125,1.6059534549713135,6.2471466064453125,6.633077272162985e-6,4.775000095367432
checkpointed,control,145,8.339439392089844,8.283408164978027,6.080955982208252,294.5698547363281,1.5626190900802612,6.2453293800354,6.517390618079392e-6,4.775000095367432
checkpointed,control,150,8.329588890075684,8.301158905029297,6.275664329528809,299.6996154785156,1.6150145530700684,6.245941162109375,6.449488812621324e-6,4.775000095367432
checkpointed,control,155,8.324716567993164,8.320501327514648,5.291098117828369,304.77850341796875,1.5815825462341309,6.246493816375732,6.322690323172727e-6,4.775000095367432
checkpointed,control,160,8.572203636169434,8.556583404541016,6.38594388961792,309.9911804199219,1.4703320264816284,6.245248317718506,6.215495655677859e-6,4.775000095367432
checkpointed,control,165,8.395190238952637,8.400284767150879,6.721748352050781,315.3412780761719,1.4217725992202759,6.245180130004883,6.174771737769072e-6,4.775000095367432
checkpointed,control,170,8.153027534484863,8.176412582397461,6.478132724761963,320.7095947265625,1.7917383909225464,6.245143413543701,6.124031037457298e-6,4.775000095367432
